shape_id,mse,mae,rmse,iou,dice,sign_accuracy,surface_mae,surface_sign_accuracy,mesh_vertices,mesh_faces,mesh_components,largest_component_face_fraction
monitor_0078,4.428470856510103e-05,0.003643601667135954,0.006654675584286451,0.8125757075211981,0.8965978128797084,0.9846100983796297,0.005677444860339165,0.8746314858490566,5666,11182,5,0.9506349490252191
monitor_0079,6.517990550491959e-05,0.004088862799108028,0.008073407225310802,0.8489506355305941,0.9183053557154277,0.9907588252314815,0.006877344101667404,0.8985795172345287,5222,10330,1,1.0
monitor_0080,8.817605703370646e-05,0.005615502595901489,0.00939021073281765,0.8141274049901421,0.8975415979613252,0.9752785011574074,0.007891247980296612,0.8383205204021289,8750,17348,1,1.0
monitor_0081,3.123310671071522e-05,0.002880159066990018,0.00558865861967206,0.9249275362318841,0.9609998494202681,0.9976580584490741,0.007597519084811211,0.9567209775967414,2824,5544,1,1.0
monitor_0082,6.45022009848617e-05,0.004444207530468702,0.008031326346099377,0.8599897802759325,0.9247252747252748,0.9900896990740741,0.007334748283028603,0.9023694993764475,6323,12638,6,0.5648045576831777
monitor_0083,7.048167026368901e-05,0.004189155995845795,0.00839533656835556,0.8806016922594798,0.9365105815697384,0.9965549045138888,0.007901766337454319,0.9593017029024312,3733,7328,10,0.964792576419214
monitor_0084,2.0257453797967173e-05,0.00223715603351593,0.004500828217715025,0.13348946135831383,0.23553719008264462,0.9966543692129629,0.0048101372085511684,0.9366655255049641,1220,2276,43,0.19507908611599298
monitor_0085,5.030569445807487e-05,0.0036885375156998634,0.007092650514096022,0.6270440251572327,0.7707769617317356,0.9839138454861112,0.008326391689479351,0.7993910690121786,4238,8480,3,0.8221698113207547
monitor_0086,8.648694347357377e-05,0.004753578919917345,0.009299836121499538,0.8992048643592142,0.9469277182612978,0.9922055844907407,0.006039679050445557,0.9085733422638982,4495,8802,3,0.9977277891388321
monitor_0087,2.7739624783862382e-05,0.0029113010969012976,0.005266841966658831,0.46890982503364737,0.638446032618655,0.9821596498842593,0.007735257036983967,0.777940348902645,4885,9644,2,0.7828701783492327
monitor_0088,5.421158130047843e-05,0.003590015461668372,0.007362851407378912,0.8217033695940568,0.9021264200407807,0.9878472222222222,0.00616374472156167,0.9047066622472655,6300,12454,1,1.0
monitor_0089,5.725666051148437e-05,0.0039774393662810326,0.007566812913864851,0.7646793948126801,0.8666496555243685,0.9763726128472222,0.007279455661773682,0.8116349480968859,6086,11986,1,1.0
monitor_0090,4.991003515897319e-05,0.003619931871071458,0.00706470338627696,0.774706387854483,0.873053022354935,0.9857765480324074,0.007935608737170696,0.8740937651039149,5853,11524,2,0.9993057965984034
monitor_0091,0.00015135527064558119,0.006839650683104992,0.012302652932703495,0.9578649400510827,0.9784790773423738,0.9765805844907407,0.0071082767099142075,0.8915314226519337,11771,23464,5,0.9801397886123423
monitor_0092,6.87895662849769e-05,0.003984629642218351,0.008293947204947472,0.7563131313131313,0.8612508986340762,0.9895290798611112,0.00918345246464014,0.8382126348228043,3553,7108,1,1.0002813731007316
monitor_0093,5.38376480108127e-05,0.003895970992743969,0.007337414193898439,0.875293657008614,0.9335003653826078,0.9942400896990741,0.006748888175934553,0.9386574074074074,5605,11144,1,1.000897343862168
monitor_0094,3.40351507475134e-05,0.0031455522403120995,0.005833965260535479,0.7952148186261898,0.8859271997707079,0.9928023726851852,0.007885088212788105,0.8993551650018966,4126,8136,1,1.0
monitor_0095,5.591613444266841e-05,0.004256736021488905,0.007477709092199802,0.8555523000292997,0.9221537975682931,0.9910843460648148,0.006124660838395357,0.9240545328506509,6923,13706,1,1.0
monitor_0096,3.7614619941450655e-05,0.0031563902739435434,0.006133075803518295,0.9303688383316098,0.9639285714285715,0.9963469328703703,0.006179220974445343,0.9612730061349694,5359,10590,1,1.0
monitor_0097,9.938930452335626e-05,0.005367253441363573,0.009969418868422508,0.8694848410155287,0.9301865647043313,0.9904242621527778,0.007910197600722313,0.9182141751779634,5030,9988,16,0.7460953143772527
monitor_0098,6.728713196935132e-05,0.004273280501365662,0.008202873170375824,0.8562091503267973,0.9225352112676056,0.9884620949074074,0.008280380629003048,0.8868299737864955,5717,11292,1,1.0
monitor_0099,0.00011027385335182771,0.005984710529446602,0.01050113607198,0.9214109926168991,0.9590982836649304,0.9870062934027778,0.00768752908334136,0.9171099549891857,8130,15662,7,0.9908057719320649
monitor_0100,3.775886943913065e-05,0.003468624083325267,0.0061448244377970695,0.8393291858263456,0.9126470588235294,0.9892578125,0.006601668428629637,0.8992024435771254,6464,12912,1,1.0004646840148699
monitor_0101,5.4211574024520814e-05,0.003590015461668372,0.007362850941717625,0.8217033695940568,0.9021264200407807,0.9878472222222222,0.006163747049868107,0.9047066622472655,6300,12454,1,1.0
monitor_0102,3.022301461896859e-05,0.0028292087372392416,0.005497546400874853,0.7401019208153665,0.850642036494706,0.9940049913194444,0.006692345719784498,0.9077115812917594,3465,6806,7,0.9506317954745812
monitor_0103,4.325730333221145e-05,0.0030926226172596216,0.006577028427273035,0.8193077167354715,0.9006807470762785,0.9948549623842593,0.006991198752075434,0.9132034963962582,3390,6768,2,0.9949763593380615
monitor_0104,5.3501997172134e-05,0.003529208479449153,0.007314505986869335,0.890773922988944,0.9422320798467587,0.9948187934027778,0.007456796709448099,0.9181102362204724,3387,6652,2,0.9987973541791942
monitor_0105,4.8773945309221745e-05,0.0032388423569500446,0.006983834784477949,0.709013209013209,0.8297340304614685,0.9932273582175926,0.007395076099783182,0.9043178334184977,4192,8316,2,0.9261664261664262
monitor_0106,3.149432814097963e-05,0.0026321401819586754,0.005611980799585581,0.245839636913767,0.3946569520340012,0.9909848813657407,0.0062476531602442265,0.8207479323984178,1154,2196,29,0.3788706739526412
