shape_id,method,mask_type,lam,k,iou,sdf_error,solve_time_s
monitor_0399,pca_completion,halfspace,1.0,64,0.6743215031315241,0.06739094,0.008789957995759323
monitor_0400,pca_completion,halfspace,1.0,64,0.6435439560439561,0.04876241,0.010209667001618072
monitor_0401,pca_completion,halfspace,1.0,64,0.5239234449760766,0.03423911,0.010098625003593042
monitor_0402,pca_completion,halfspace,1.0,64,0.4026548672566372,0.053811308,0.012278207985218614
monitor_0403,pca_completion,halfspace,1.0,64,0.517948717948718,0.054636106,0.007595792005304247
monitor_0404,pca_completion,halfspace,1.0,64,0.04706820901475867,0.058125276,0.009850542002823204
monitor_0405,pca_completion,halfspace,1.0,64,0.7258306100217865,0.07985946,0.011487916024634615
monitor_0406,pca_completion,halfspace,1.0,64,0.6229849193967759,0.035027016,0.009803209017263725
monitor_0407,pca_completion,halfspace,1.0,64,0.11331133113311331,0.044989165,0.014164457999868318
monitor_0408,pca_completion,halfspace,1.0,64,0.47866256049274086,0.05868414,0.010543666983721778
monitor_0409,pca_completion,halfspace,1.0,64,0.7208452908948604,0.032667816,0.007668499980354682
monitor_0410,pca_completion,halfspace,1.0,64,0.2397935241670577,0.037379142,0.013983332988573238
monitor_0411,pca_completion,halfspace,1.0,64,0.5163352272727273,0.029820943,0.007496917009120807
monitor_0412,pca_completion,halfspace,1.0,64,0.0,0.10450707,0.0118199170101434
monitor_0413,pca_completion,halfspace,1.0,64,0.061925199264255056,0.06127805,0.009810542018385604
monitor_0414,pca_completion,halfspace,1.0,64,0.6692869174620999,0.04774305,0.007955790992127731
monitor_0415,pca_completion,halfspace,1.0,64,0.16770186335403728,0.050376125,0.010834290995262563
monitor_0416,pca_completion,halfspace,1.0,64,0.06857142857142857,0.046020582,0.007873208000091836
monitor_0417,pca_completion,halfspace,1.0,64,0.3808695652173913,0.09650174,0.012865583994425833
monitor_0418,pca_completion,halfspace,1.0,64,0.5482942868886149,0.0317671,0.009353375004138798
monitor_0419,pca_completion,halfspace,1.0,64,0.3890473474044495,0.045869384,0.015146874997299165
monitor_0420,pca_completion,halfspace,1.0,64,0.006108735491753207,0.034090836,0.012273291999008507
monitor_0421,pca_completion,halfspace,1.0,64,0.4730565371024735,0.05033256,0.010814333014423028
monitor_0422,pca_completion,halfspace,1.0,64,0.6261954261954262,0.090344734,0.007890375010902062
monitor_0423,pca_completion,halfspace,1.0,64,0.024830699774266364,0.049150128,0.015568292001262307
monitor_0424,pca_completion,halfspace,1.0,64,0.5542239111370945,0.04652342,0.010539084003539756
monitor_0425,pca_completion,halfspace,1.0,64,0.5504021447721179,0.037921395,0.0075736249855253845
monitor_0426,pca_completion,halfspace,1.0,64,0.3077753779697624,0.037463058,0.01451716700103134
