shape_id,method,mask_type,k_gmm,lam,k_pca,iou,sdf_error,solve_time_s
monitor_0429,gmm_completion,block,1,1.0,64,0.7484545886828341,0.009748187,0.03288454099674709
monitor_0430,gmm_completion,block,1,1.0,64,1.0,0.0074179913,0.033310583006823435
monitor_0431,gmm_completion,block,1,1.0,64,0.176056338028169,0.00800424,0.0342203329782933
monitor_0432,gmm_completion,block,1,1.0,64,0.11510791366906475,0.018385233,0.03523629199480638
monitor_0433,gmm_completion,block,1,1.0,64,0.36486486486486486,0.03717636,0.036545832990668714
monitor_0434,gmm_completion,block,1,1.0,64,0.8783359497645212,0.016502481,0.036370874993735924
monitor_0435,gmm_completion,block,1,1.0,64,0.5704626334519572,0.016092438,0.032566083973506466
monitor_0436,gmm_completion,block,1,1.0,64,0.20580474934036938,0.02283907,0.03526654202141799
monitor_0437,gmm_completion,block,1,1.0,64,0.7819383259911894,0.020492718,0.0348881249956321
monitor_0438,gmm_completion,block,1,1.0,64,1.0,0.0058122333,0.035638750006910414
monitor_0439,gmm_completion,block,1,1.0,64,0.16122004357298475,0.015639082,0.03462662498350255
monitor_0440,gmm_completion,block,1,1.0,64,0.8987129266927812,0.015192895,0.03319183399435133
monitor_0441,gmm_completion,block,1,1.0,64,0.998191830360812,0.025211636,0.03314079099800438
monitor_0442,gmm_completion,block,1,1.0,64,0.2,0.016415767,0.0350194999773521
monitor_0443,gmm_completion,block,1,1.0,64,0.8231441048034934,0.018008227,0.03615866700420156
monitor_0444,gmm_completion,block,1,1.0,64,1.0,0.005973616,0.03545016699354164
monitor_0445,gmm_completion,block,1,1.0,64,0.7532133676092545,0.0073361434,0.035314208013005555
monitor_0446,gmm_completion,block,1,1.0,64,0.7293436293436294,0.026562462,0.03426179100642912
monitor_0447,gmm_completion,block,1,1.0,64,1.0,0.009513466,0.03472595801576972
monitor_0448,gmm_completion,block,1,1.0,64,0.7347319347319348,0.010482579,0.03292316698934883
monitor_0449,gmm_completion,block,1,1.0,64,0.8539325842696629,0.027752697,0.034210832993267104
monitor_0450,gmm_completion,block,1,1.0,64,1.0,0.0029282845,0.035197165998397395
monitor_0451,gmm_completion,block,1,1.0,64,0.8877163360067539,0.0065589235,0.03283687500515953
monitor_0452,gmm_completion,block,1,1.0,64,0.9056203605514316,0.027748788,0.03474966701469384
monitor_0453,gmm_completion,block,1,1.0,64,1.0,0.003963429,0.03521170897874981
monitor_0454,gmm_completion,block,1,1.0,64,0.8085539714867617,0.008538578,0.0342296669841744
monitor_0455,gmm_completion,block,1,1.0,64,0.0,0.016718067,0.03326429199660197
monitor_0456,gmm_completion,block,1,1.0,64,0.7463026166097838,0.03393017,0.03534895897610113
monitor_0457,gmm_completion,block,1,1.0,64,0.875,0.00952519,0.034095624985639006
monitor_0458,gmm_completion,block,1,1.0,64,0.7294117647058823,0.03749918,0.034355459007201716
monitor_0459,gmm_completion,block,1,1.0,64,0.5366795366795367,0.007570906,0.03517750001628883
monitor_0460,gmm_completion,block,1,1.0,64,1.0,0.008691824,0.033910041995113716
monitor_0461,gmm_completion,block,1,1.0,64,1.0,0.0050158943,0.03472770799999125
monitor_0462,gmm_completion,block,1,1.0,64,0.6496296296296297,0.018436182,0.03432779197464697
monitor_0463,gmm_completion,block,1,1.0,64,0.4010416666666667,0.020933282,0.03422508400399238
monitor_0464,gmm_completion,block,1,1.0,64,0.0,0.010907696,0.03431999997701496
monitor_0465,gmm_completion,block,1,1.0,64,1.0,0.021693302,0.03392679197713733
monitor_0466,gmm_completion,block,1,1.0,64,0.4357625845229151,0.042192023,0.034212667000247166
monitor_0467,gmm_completion,block,1,1.0,64,0.006622516556291391,0.008905369,0.032384042016929016
monitor_0468,gmm_completion,block,1,1.0,64,0.5036057692307693,0.0294569,0.032184042007429525
monitor_0469,gmm_completion,block,1,1.0,64,0.29842061512884455,0.031418495,0.03362254099920392
monitor_0470,gmm_completion,block,1,1.0,64,1.0,0.013706688,0.03516308299731463
monitor_0471,gmm_completion,block,1,1.0,64,0.5677966101694916,0.016716877,0.033515334012918174
monitor_0472,gmm_completion,block,1,1.0,64,0.83,0.030035943,0.03371783398324624
monitor_0473,gmm_completion,block,1,1.0,64,1.0,0.022923563,0.0352349589811638
monitor_0474,gmm_completion,block,1,1.0,64,0.6028594122319301,0.013313731,0.032265208021271974
monitor_0475,gmm_completion,block,1,1.0,64,0.0,0.008435092,0.034409542015055194
monitor_0476,gmm_completion,block,1,1.0,64,0.10372340425531915,0.028769026,0.03173674998106435
monitor_0477,gmm_completion,block,1,1.0,64,0.32075471698113206,0.008325476,0.03375108298496343
monitor_0478,gmm_completion,block,1,1.0,64,1.0,0.008323725,0.03310800000326708
monitor_0479,gmm_completion,block,1,1.0,64,0.6556291390728477,0.018836727,0.03210345798288472
monitor_0480,gmm_completion,block,1,1.0,64,0.16279069767441862,0.008802074,0.03444237500661984
monitor_0396,gmm_completion,halfspace,2,1.0,64,0.7498062015503876,0.046470847,0.023326208000071347
monitor_0397,gmm_completion,halfspace,2,1.0,64,0.5635851712810886,0.11424377,0.03349500001058914
monitor_0398,gmm_completion,halfspace,2,1.0,64,0.7382417582417582,0.066857405,0.022565666993614286
monitor_0399,gmm_completion,halfspace,2,1.0,64,0.25277777777777777,0.1351642,0.025670417002402246
monitor_0400,gmm_completion,halfspace,2,1.0,64,0.5155124653739612,0.05109863,0.02919241599738598
monitor_0401,gmm_completion,halfspace,2,1.0,64,0.45064377682403434,0.03641432,0.02986062498530373
monitor_0402,gmm_completion,halfspace,2,1.0,64,0.009036144578313253,0.11994853,0.03438783300225623
monitor_0403,gmm_completion,halfspace,2,1.0,64,0.4494067237969677,0.09373041,0.02213262501754798
monitor_0404,gmm_completion,halfspace,2,1.0,64,0.23592884222805482,0.18195969,0.028766291012289003
monitor_0405,gmm_completion,halfspace,2,1.0,64,0.6944526846633047,0.08335141,0.03578487498452887
monitor_0406,gmm_completion,halfspace,2,1.0,64,0.5221606648199446,0.034095474,0.028064999991329387
monitor_0407,gmm_completion,halfspace,2,1.0,64,0.03308823529411765,0.04569713,0.042693666997365654
monitor_0408,gmm_completion,halfspace,2,1.0,64,0.3149972632731253,0.07158425,0.031948374991770834
monitor_0409,gmm_completion,halfspace,2,1.0,64,0.7459265396299365,0.037476525,0.022999249980784953
monitor_0410,gmm_completion,halfspace,2,1.0,64,0.40567685589519653,0.039164156,0.04325554199749604
monitor_0411,gmm_completion,halfspace,2,1.0,64,0.5971669980119284,0.08956126,0.021637458994518965
monitor_0412,gmm_completion,halfspace,2,1.0,64,0.197017493547462,0.060730748,0.03434641598141752
monitor_0413,gmm_completion,halfspace,2,1.0,64,0.07138607971445568,0.06450346,0.029340165987377986
monitor_0414,gmm_completion,halfspace,2,1.0,64,0.6744288224956063,0.04082098,0.02393529101391323
monitor_0415,gmm_completion,halfspace,2,1.0,64,0.26663405088062625,0.072699636,0.031952082994394004
