shape_id,method,k,iou,sdf_error
monitor_0457,pca_reconstruction,32,0.42287944136372974,0.018566959
monitor_0458,pca_reconstruction,32,0.7124006228997624,0.025567552
monitor_0459,pca_reconstruction,32,0.4847605224963715,0.011746329
monitor_0460,pca_reconstruction,32,0.054285714285714284,0.0077548525
monitor_0461,pca_reconstruction,32,0.5252343186733959,0.010172969
monitor_0462,pca_reconstruction,32,0.5495902324803479,0.015669774
monitor_0463,pca_reconstruction,32,0.5725876057310547,0.009022524
monitor_0464,pca_reconstruction,32,0.15042210283960092,0.012741678
monitor_0465,pca_reconstruction,32,0.8789711981128486,0.026457302
monitor_0466,pca_reconstruction,32,0.22507072135785008,0.05162725
monitor_0467,pca_reconstruction,32,0.059134107708553325,0.0110605
monitor_0468,pca_reconstruction,32,0.524874843554443,0.014658035
monitor_0469,pca_reconstruction,32,0.23255309926311227,0.025581308
monitor_0470,pca_reconstruction,32,0.7084597236265588,0.013230984
monitor_0471,pca_reconstruction,32,0.6758328926493918,0.012858139
monitor_0472,pca_reconstruction,32,0.8226652967148926,0.027959399
monitor_0473,pca_reconstruction,32,0.16777100450569837,0.020006511
monitor_0474,pca_reconstruction,32,0.6044871794871794,0.014330973
monitor_0475,pca_reconstruction,32,0.7196399785061794,0.01056032
monitor_0476,pca_reconstruction,32,0.34897172236503854,0.017930485
monitor_0477,pca_reconstruction,32,0.5057979017117614,0.008685763
monitor_0478,pca_reconstruction,32,0.7601784718349136,0.0102294795
monitor_0479,pca_reconstruction,32,0.782368808239333,0.010229454
monitor_0480,pca_reconstruction,32,0.1424713031735314,0.01493847
monitor_0396,pca_reconstruction,64,0.8764261168384879,0.0062410394
monitor_0397,pca_reconstruction,64,0.8218963831867058,0.0063145845
monitor_0398,pca_reconstruction,64,0.826060788444177,0.006137877
monitor_0399,pca_reconstruction,64,0.5738678544914625,0.0073010693
monitor_0400,pca_reconstruction,64,0.6758306628436499,0.010164111
monitor_0401,pca_reconstruction,64,0.7250543609567528,0.0076434854
monitor_0402,pca_reconstruction,64,0.677098445595855,0.012344147
monitor_0403,pca_reconstruction,64,0.7015706806282722,0.010222713
monitor_0404,pca_reconstruction,64,0.4452177371246769,0.014479341
monitor_0405,pca_reconstruction,64,0.8691702328280264,0.02561165
monitor_0406,pca_reconstruction,64,0.7796223282838763,0.00874973
monitor_0407,pca_reconstruction,64,0.7590520078999342,0.009513742
monitor_0408,pca_reconstruction,64,0.6661133810010215,0.014280807
monitor_0409,pca_reconstruction,64,0.8077718809031214,0.012368886
monitor_0410,pca_reconstruction,64,0.7498028909329829,0.008242061
monitor_0411,pca_reconstruction,64,0.7805953693495039,0.0073946076
monitor_0412,pca_reconstruction,64,0.5470085470085471,0.018168544
monitor_0413,pca_reconstruction,64,0.7059009151151783,0.011291886
monitor_0414,pca_reconstruction,64,0.8051923968474733,0.007997266
monitor_0415,pca_reconstruction,64,0.47732997481108314,0.012965077
monitor_0416,pca_reconstruction,64,0.40117726964002715,0.014747448
monitor_0417,pca_reconstruction,64,0.8483234095894704,0.0073462073
